Fri Apr 10 12:38:33 EDT 2020
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 18566492  33836708  36% /
/dev/mapper/centos-home  49774852   173260  49601592   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 18566512  33836688  36% /
/dev/mapper/centos-home  49774852   173240  49601612   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 18566492  33836708  36% /
/dev/mapper/centos-home  49774852   173240  49601612   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 18566492  33836708  36% /
/dev/mapper/centos-home  49774852   173240  49601612   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 18566492  33836708  36% /
/dev/mapper/centos-home  49774852   173240  49601612   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 18566492  33836708  36% /
/dev/mapper/centos-home  49774852   173512  49601340   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 18566512  33836688  36% /
/dev/mapper/centos-home  49774852   173248  49601604   1% /home
/dev/sdb                  2086912    32992   2053920   2% /home/student/Desktop/sdb
/dev/sda1                  508588   285052    223536  57% /boot
tmpfs                      202796        4    202792   1% /run/user/42
tmpfs                      202796       48    202748   1% /run/user/1000
tmpfs                      202796        0    202796   0% /run/user/0
****************************************************************
Filesystem              1K-blocks     Used Available Use% Mounted on
devtmpfs                   997100        0    997100   0% /dev
tmpfs                     1013960    25472    988488   3% /dev/shm
tmpfs                     1013960    10784   1003176   2% /run
tmpfs                     1013960        0   1013960   0% /sys/fs/cgroup
/dev/mapper/centos-root  52403200 18566496  33836704  36% /
/dev/mapper/centos-home  49774852   173248  49601604   1% /home
